Time,Temperature,Pressure,Altitude
5/18/2026 15:07:19,28.1,909.75,898.8
5/18/2026 15:10:20,28.1,909.74,899.16
5/18/2026 15:11:15,28.1,909.85,899.16
5/18/2026 15:11:46,28.3,909.74,899.89
5/18/2026 15:12:13,28.2,909.75,899.26
5/18/2026 15:12:49,28.3,909.7,899.35
5/18/2026 15:13:17,28.3,909.77,899.62
5/18/2026 15:13:38,28.4,909.82,899.26
5/18/2026 15:14:00,28.3,909.7,899.53
5/18/2026 15:14:30,28.4,909.8,899.44
5/18/2026 15:15:05,28.4,909.84,898.98
5/18/2026 15:18:50,28.5,909.87,898.17
5/18/2026 15:19:39,28.5,909.93,898.83
5/18/2026 15:20:16,28.5,909.88,898.32
5/18/2026 15:25:34,28.3,909.81,898.32
5/18/2026 15:26:11,28.4,909.72,898.32
5/18/2026 15:26:45,28.3,909.7,898.32
5/18/2026 15:27:20,28.2,909.71,898.32
5/18/2026 15:27:58,28.3,909.7,898.32
5/18/2026 15:28:28,28.3,909.7,898.32
5/18/2026 15:29:05,28.2,909.67,898.32
5/18/2026 15:29:41,28.3,909.64,874.42
5/18/2026 15:30:17,28.4,909.63,874.42
5/18/2026 15:30:52,28.4,909.66,874.42
5/18/2026 15:31:26,28.3,909.63,874.42
5/18/2026 15:32:06,28.2,909.61,874.42
5/18/2026 15:32:40,28.2,909.65,874.06
5/18/2026 15:33:15,28.2,909.57,874.79
5/18/2026 15:33:51,28.1,909.59,874.6
5/18/2026 15:34:25,31.2,909.65,874.06
5/18/2026 15:35:01,28.5,909.64,874.15
5/18/2026 15:35:36,27.6,909.61,874.42
5/18/2026 15:36:11,26.9,909.62,874.33
5/18/2026 15:36:44,26.6,909.63,874.24
5/18/2026 15:37:37,26.2,909.67,873.88
5/18/2026 15:38:11,26.2,909.58,874.7
5/18/2026 15:38:47,26,909.57,874.79
5/18/2026 15:39:21,25.9,909.59,874.6
5/18/2026 15:39:55,25.9,909.54,875.06
5/18/2026 15:40:28,25.9,909.52,875.24
5/18/2026 15:41:03,25.9,909.53,875.15
5/18/2026 15:41:36,25.7,909.56,874.88
5/18/2026 15:42:10,25.7,909.53,875.15
5/18/2026 15:42:44,25.6,909.53,875.15
5/18/2026 15:43:19,25.7,909.52,875.24
5/18/2026 15:43:53,25.8,909.55,874.97
5/18/2026 15:44:27,25.9,909.54,875.06
5/18/2026 15:45:02,25.9,909.43,876.06
5/18/2026 15:45:35,25.8,909.56,874.88
5/18/2026 15:46:09,25.7,909.59,874.6
5/18/2026 15:46:44,25.6,909.49,875.51
5/18/2026 15:47:21,25.5,909.54,875.06
5/18/2026 15:47:59,25.5,909.54,875.06
5/18/2026 15:48:34,25.5,909.55,874.97
5/18/2026 15:49:11,25.6,909.53,875.15
5/18/2026 15:49:45,25.6,909.58,874.7
5/18/2026 15:50:19,25.6,909.62,874.33
5/18/2026 15:50:56,25.5,909.55,874.97
5/18/2026 15:51:36,25.4,909.59,874.6
5/18/2026 15:52:10,25.5,909.58,874.7
5/18/2026 15:52:44,25.3,909.55,874.97
5/18/2026 15:53:21,25.5,909.59,874.6
5/18/2026 15:53:56,25.5,909.55,874.97
5/18/2026 15:54:30,25.6,909.62,874.33
5/18/2026 15:55:04,25.5,909.52,875.24
5/18/2026 15:55:39,25.5,909.52,875.24
5/18/2026 15:56:14,25.5,909.5,875.42
5/18/2026 15:56:49,25.5,909.54,875.06
5/18/2026 15:57:23,25.4,909.48,875.6
5/18/2026 15:58:01,25.5,909.47,875.7
5/18/2026 15:58:35,25.5,909.44,875.97
5/18/2026 15:59:10,25.5,909.4,876.33
5/18/2026 16:00:24,25.5,909.46,875.79
5/18/2026 16:00:58,25.5,909.51,875.33
5/18/2026 16:01:31,25.5,909.51,875.33
5/18/2026 16:02:09,25.4,909.49,875.51
5/18/2026 16:02:43,25.4,909.44,875.97
5/18/2026 16:03:18,25.5,909.52,875.24
5/18/2026 16:03:55,25.5,909.5,875.42
5/18/2026 16:04:30,25.3,909.51,875.33
5/18/2026 16:05:06,25.4,909.55,874.97
5/18/2026 16:05:41,25.4,909.52,875.24
5/18/2026 16:06:19,25.3,909.57,874.79
5/18/2026 16:06:55,25.5,909.6,874.51
5/18/2026 16:07:29,25.4,909.6,874.51
5/18/2026 16:08:04,25.4,909.63,874.24
