epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6619,1.22302,2.93344,1.28398,0.53114,0.52496,0.55175,0.29666,1.48465,2.23391,1.3696,0.000151424,0.000151424,0.000151424
2,111.746,1.14652,1.79905,1.21036,0.63396,0.66793,0.66932,0.40269,1.3858,1.81044,1.25717,0.000273085,0.000273085,0.000273085
3,150.34,1.06919,1.51173,1.15801,0.71668,0.69506,0.74575,0.46521,1.26175,1.49078,1.15913,0.000364716,0.000364716,0.000364716
4,188.31,1.01753,1.30251,1.11965,0.69457,0.78157,0.80324,0.47173,1.2681,1.56286,1.18014,0.000319865,0.000319865,0.000319865
5,225.831,0.95699,1.12864,1.08208,0.8234,0.79954,0.85548,0.54959,1.20437,1.33912,1.11403,0.00027482,0.00027482,0.00027482
6,264.623,0.90582,0.99206,1.05473,0.83762,0.88304,0.89652,0.56501,1.23185,1.08186,1.0945,0.000229775,0.000229775,0.000229775
7,303.863,0.86556,0.894,1.03204,0.7891,0.84041,0.84552,0.56337,1.19673,1.05752,1.0837,0.00018473,0.00018473,0.00018473
8,342.807,0.82521,0.81058,1.01114,0.86713,0.86264,0.891,0.60161,1.14349,0.95633,1.04625,0.000139685,0.000139685,0.000139685
9,381.175,0.794,0.74792,0.99983,0.87979,0.87113,0.88889,0.62,1.09049,0.91834,1.04353,9.464e-05,9.464e-05,9.464e-05
10,419.405,0.7665,0.71584,0.98911,0.90428,0.89535,0.91361,0.63029,1.08842,0.89604,1.03048,4.9595e-05,4.9595e-05,4.9595e-05
